ds,y
2022-04-26,3212.74
2022-04-27,3079.23
2022-04-28,3004.71
2022-04-29,4944.28
2022-04-30,5554.13
2022-05-01,4233.21
2022-05-02,4777.98
2022-05-03,3280.67
2022-05-04,3326.88
2022-05-05,3221.63
2022-05-06,4898.59
2022-05-07,4695.62
2022-05-08,4437.78
2022-05-09,2573.92
2022-05-10,2518.47
2022-05-11,2697.11
2022-05-12,2774.53
2022-05-13,4144.97
2022-05-14,5098.76
2022-05-15,3913.45
2022-05-16,3343.01
2022-05-17,2807.39
2022-05-18,2511.68
2022-05-19,2456.58
2022-05-20,4854.71
2022-05-21,5153.66
2022-05-22,4132.75
2022-05-23,2358.51
2022-05-24,2671.25
2022-05-25,2667.88
2022-05-26,2926.36
2022-05-27,4657.57
2022-05-28,4324.70
2022-05-29,3529.01
2022-05-30,3160.97
2022-05-31,3122.59
2022-06-01,3851.04
2022-06-02,4318.45
2022-06-03,4181.27
2022-06-04,4172.70
2022-06-05,3101.44
2022-06-06,2152.52
2022-06-07,2674.97
2022-06-08,2809.84
2022-06-09,2681.06
2022-06-10,4199.21
2022-06-11,4870.90
2022-06-12,3271.39
2022-06-13,2173.27
2022-06-14,2922.20
2022-06-15,3087.79
2022-06-16,2892.00
2022-06-17,4067.31
2022-06-18,4445.77
2022-06-19,3660.33
2022-06-20,2293.34
2022-06-21,2454.76
2022-06-22,2701.55
2022-06-23,2852.35
2022-06-24,4671.43
2022-06-25,4348.95
2022-06-26,3435.72
2022-06-27,2627.57
2022-06-28,3259.87
2022-06-29,2672.55
2022-06-30,3079.39
2022-07-01,4615.55
2022-07-02,4361.73
2022-07-03,4065.28
2022-07-04,2398.70
2022-07-05,2693.88
2022-07-06,2587.06
2022-07-07,2903.83
2022-07-08,4392.42
2022-07-09,5132.72
2022-07-10,3396.73
2022-07-11,2847.40
2022-07-12,2850.64
2022-07-13,2623.51
2022-07-14,3162.82
2022-07-15,3744.78
2022-07-16,4121.15
2022-07-17,3571.37
2022-07-18,2727.17
2022-07-19,3175.39
2022-07-20,2718.00
2022-07-21,3174.41
2022-07-22,4342.23
2022-07-23,4619.09
2022-07-24,4085.22
2022-07-25,2530.05
2022-07-26,3363.12
2022-07-27,2903.23
2022-07-28,3054.34
2022-07-29,4624.35
2022-07-30,4845.42
2022-07-31,3994.25
2022-08-01,2978.37
2022-08-02,2590.32
2022-08-03,2737.23
2022-08-04,2982.15
2022-08-05,4215.59
2022-08-06,4606.49
2022-08-07,3386.41
2022-08-08,2884.86
2022-08-09,2919.10
2022-08-10,2844.29
2022-08-11,3000.62
2022-08-12,3603.01
2022-08-13,4416.87
2022-08-14,3559.23
2022-08-15,2391.62
2022-08-16,2897.34
2022-08-17,2605.67
2022-08-18,2504.97
2022-08-19,4101.71
2022-08-20,3325.43
2022-08-21,3325.43
2022-08-22,2518.73
2022-08-23,2573.78
2022-08-24,2104.90
2022-08-25,2990.53
2022-08-26,4424.39
2022-08-27,4538.63
